ID,LAND,TID,INDHOLD,SITC
1,Afghanistan,2018,174,Diverse fremstillede varer
2,Afghanistan,2019,172,Diverse fremstillede varer
3,Afghanistan,2020,0,Diverse fremstillede varer
4,Afghanistan,2021,0,Diverse fremstillede varer
5,Albania,2018,6962,Diverse fremstillede varer
6,Albania,2019,9110,Diverse fremstillede varer
7,Albania,2020,4020,Diverse fremstillede varer
8,Albania,2021,3336,Diverse fremstillede varer
9,Algeria,2018,1803,Diverse fremstillede varer
10,Algeria,2019,1018,Diverse fremstillede varer
11,Algeria,2020,443,Diverse fremstillede varer
12,Algeria,2021,416,Diverse fremstillede varer
13,United States of America,2018,0,Diverse fremstillede varer
14,United States of America,2019,0,Diverse fremstillede varer
15,United States of America,2020,0,Diverse fremstillede varer
16,United States of America,2021,0,Diverse fremstillede varer
17,United States of America,2018,0,Diverse fremstillede varer
18,United States of America,2019,0,Diverse fremstillede varer
19,United States of America,2020,0,Diverse fremstillede varer
20,United States of America,2021,0,Diverse fremstillede varer
21,United States of America,2018,120,Diverse fremstillede varer
22,United States of America,2019,0,Diverse fremstillede varer
23,United States of America,2020,0,Diverse fremstillede varer
24,United States of America,2021,24,Diverse fremstillede varer
25,Andorra,2018,891,Diverse fremstillede varer
26,Andorra,2019,1321,Diverse fremstillede varer
27,Andorra,2020,643,Diverse fremstillede varer
28,Andorra,2021,615,Diverse fremstillede varer
29,Angola,2018,377,Diverse fremstillede varer
30,Angola,2019,525,Diverse fremstillede varer
31,Angola,2020,870,Diverse fremstillede varer
32,Angola,2021,850,Diverse fremstillede varer
33,Anguilla,2018,0,Diverse fremstillede varer
34,Anguilla,2019,11,Diverse fremstillede varer
35,Anguilla,2020,0,Diverse fremstillede varer
36,Anguilla,2021,0,Diverse fremstillede varer
37,Antarctica,2018,0,Diverse fremstillede varer
38,Antarctica,2019,0,Diverse fremstillede varer
39,Antarctica,2020,9,Diverse fremstillede varer
40,Antarctica,2021,0,Diverse fremstillede varer
41,Antigua and Barbuda,2018,50,Diverse fremstillede varer
42,Antigua and Barbuda,2019,1093,Diverse fremstillede varer
43,Antigua and Barbuda,2020,0,Diverse fremstillede varer
44,Antigua and Barbuda,2021,101,Diverse fremstillede varer
45,Argentina,2018,4977,Diverse fremstillede varer
46,Argentina,2019,3342,Diverse fremstillede varer
47,Argentina,2020,1754,Diverse fremstillede varer
48,Argentina,2021,2559,Diverse fremstillede varer
49,Armenia,2018,1430,Diverse fremstillede varer
50,Armenia,2019,1375,Diverse fremstillede varer
51,Armenia,2020,996,Diverse fremstillede varer
52,Armenia,2021,976,Diverse fremstillede varer
53,Aruba,2018,173,Diverse fremstillede varer
54,Aruba,2019,149,Diverse fremstillede varer
