ID,LAND,TID,SITC,INDHOLD
1,Afghanistan,2018,Diverse fremstillede varer,239
2,Afghanistan,2019,Diverse fremstillede varer,55
3,Afghanistan,2020,Diverse fremstillede varer,31
4,Afghanistan,2021,Diverse fremstillede varer,84
5,Albania,2018,Diverse fremstillede varer,766
6,Albania,2019,Diverse fremstillede varer,622
7,Albania,2020,Diverse fremstillede varer,559
8,Albania,2021,Diverse fremstillede varer,474
9,Algeria,2018,Diverse fremstillede varer,0
10,Algeria,2019,Diverse fremstillede varer,0
11,Algeria,2020,Diverse fremstillede varer,0
12,Algeria,2021,Diverse fremstillede varer,0
13,United States of America,2018,Diverse fremstillede varer,0
14,United States of America,2019,Diverse fremstillede varer,0
15,United States of America,2020,Diverse fremstillede varer,0
16,United States of America,2021,Diverse fremstillede varer,0
17,United States of America,2018,Diverse fremstillede varer,0
18,United States of America,2019,Diverse fremstillede varer,0
19,United States of America,2020,Diverse fremstillede varer,0
20,United States of America,2021,Diverse fremstillede varer,0
21,United States of America,2018,Diverse fremstillede varer,0
22,United States of America,2019,Diverse fremstillede varer,3
23,United States of America,2020,Diverse fremstillede varer,0
24,United States of America,2021,Diverse fremstillede varer,4
25,Andorra,2018,Diverse fremstillede varer,0
26,Andorra,2019,Diverse fremstillede varer,0
27,Andorra,2020,Diverse fremstillede varer,0
28,Andorra,2021,Diverse fremstillede varer,145
29,Angola,2018,Diverse fremstillede varer,0
30,Angola,2019,Diverse fremstillede varer,0
31,Angola,2020,Diverse fremstillede varer,0
32,Angola,2021,Diverse fremstillede varer,0
33,Anguilla,2018,Diverse fremstillede varer,0
34,Anguilla,2019,Diverse fremstillede varer,0
35,Anguilla,2020,Diverse fremstillede varer,0
36,Anguilla,2021,Diverse fremstillede varer,0
37,Antarctica,2018,Diverse fremstillede varer,0
38,Antarctica,2019,Diverse fremstillede varer,0
39,Antarctica,2020,Diverse fremstillede varer,0
40,Antarctica,2021,Diverse fremstillede varer,0
41,Antigua and Barbuda,2018,Diverse fremstillede varer,0
42,Antigua and Barbuda,2019,Diverse fremstillede varer,30
43,Antigua and Barbuda,2020,Diverse fremstillede varer,0
44,Antigua and Barbuda,2021,Diverse fremstillede varer,27
45,Argentina,2018,Diverse fremstillede varer,1757
46,Argentina,2019,Diverse fremstillede varer,572
47,Argentina,2020,Diverse fremstillede varer,684
48,Argentina,2021,Diverse fremstillede varer,906
49,Armenia,2018,Diverse fremstillede varer,0
50,Armenia,2019,Diverse fremstillede varer,0
51,Armenia,2020,Diverse fremstillede varer,2
52,Armenia,2021,Diverse fremstillede varer,0
53,Aruba,2018,Diverse fremstillede varer,2
54,Aruba,2019,Diverse fremstillede varer,0
